Course List,High,Low,Lowest
"Inisiatif, Proaktif, Bertanggung jawab",Siswa dapat secara aktif melaporkan progress dan kendala yang dihadapi selama program,Siswa cukup aktif melaporkan progress dan kendala yang dihadapi selama program,Siswa perlu lebih aktif melaporkan progress dan kendala yang dihadapi selama program
Bahasa Inggris,Siswa dapat berkomunikasi dan memahami materi berbahasa Inggris dengan lancar dan efektif,Siswa dapat berkomunikasi dan cukup memahami materi berbahasa Inggris dengan lancar dan efektif,Siswa perlu lebih meningkatkan kemampuan berkomunikasi dan memahami materi berbahasa Inggris dengan lancar dan efektif
Tugas Soft skills,"Siswa mengerti dengan baik terkait Life Path, Growth Mindset, The Power of Feedback, Time Management, Critical Thinking, Problem Solving, Adaptability, Resilience, Project Management, Professional Communication, Networking, Digital Branding, and Interview Communication","Siswa cukup mengerti terkait Life Path, Growth Mindset, The Power of Feedback, Time Management, Critical Thinking, Problem Solving, Adaptability, Resilience, Project Management, Professional Communication, Networking, Digital Branding, and Interview Communication","Pemahaman siswa terkait Life Path, Growth Mindset, The Power of Feedback, Time Management, Critical Thinking, Problem Solving, Adaptability, Resilience, Project Management, Professional Communication, Networking, Digital Branding, and Interview Communication, perlu ditingkatkan"
Persiapan Karir atau Startup,Siswa mampu menyimpulkan dan memilih jalur karier pada bidang Software Development yang sesuai dengan diri mereka beserta mengerti hal-hal yang harus mereka persiapkan untuk mencapai dan menjalani karier tersebut,Siswa cukup baik dalam menyimpulkan dan memilih jalur karier pada bidang Software Development yang sesuai dengan diri mereka beserta mengerti hal-hal yang harus mereka persiapkan untuk mencapai dan menjalani karier tersebut,Siswa perlu lebih meningkatkan kemampuan menyimpulkan dan memilih jalur karier pada bidang Software Development yang sesuai dengan diri mereka beserta mengerti hal-hal yang harus mereka persiapkan untuk mencapai dan menjalani karier tersebut.
Review Materi,Siswa dapat menunjukkan kompetensi dalam materi teknikal yang telah dipelajari,Siswa cukup dapat menunjukkan kompetensi dalam materi teknikal yang telah dipelajari.,Siswa kurang menunjukkan kompetensi dalam materi teknikal yang telah dipelajari sehingga perlu lebih meningkatkan kompetensinya.
Refleksi diri,Siswa mampu menceritakan kembali dan melaporkan hal yang didapatkan selama proses pembelajaran dalam bentuk lisan dan tulisan,Siswa cukup baik dalam menceritakan kembali dan melaporkan hal yang didapatkan selama proses pembelajaran dalam bentuk lisan dan tulisan,Siswa perlu meningkatkan kemampuan untuk menceritakan kembali dan melaporkan hal yang didapatkan selama proses pembelajaran dalam bentuk lisan dan tulisan
Machine Learning Specialization by Andrew Ng,Siswa mampu menguasai konsep penting dan memahami penerapan machine learning untuk menjadi solusi problem di dunia nyata.,Siswa cukup mampu menguasai konsep penting dan memahami penerapan machine learning untuk menjadi solusi problem di dunia nyata.,Siswa perlu belajar lebih baik lagi untuk dapat menguasai konsep penting dan memahami penerapan machine learning untuk menjadi solusi problem di dunia nyata.
Google Data Analytics,"Siswa memiliki pemahaman terkait pembersihan data, pemecahan masalah, cara berpikir kritis, etika data, dan visualisasi data.","Siswa cukup memiliki pemahaman terkait pembersihan data, pemecahan masalah, cara berpikir kritis, etika data, dan visualisasi data.","Siswa perlu meningkatkan pemahaman terkait pembersihan data, pemecahan masalah, cara berpikir kritis, etika data, dan visualisasi data."
Google IT Automation with Python,Siswa memiliki pemahaman dalam membuat program python dan bagaimana menggunakan python untuk otomasi tugas administrasi secara umum.,Siswa cukup memiliki pemahaman dalam membuat program python dan bagaimana menggunakan python untuk otomasi tugas administrasi secara umum.,Siswa perlu meningkatkan pemahaman dalam membuat program python dan bagaimana menggunakan python untuk otomasi tugas administrasi secara umum.
Mathematics for Machine Learning,Siswa mampu memahami dengan baik dalam proses belajar guna memiliki pengetahuan matematika prasyarat untuk melanjutkan perjalanan dan mengambil kursus yang lebih maju dalam pemelajaran mesin,Siswa cukup mampu memahami proses belajar guna memiliki pengetahuan matematika prasyarat untuk melanjutkan perjalanan dan mengambil kursus yang lebih maju dalam pemelajaran mesin,Siswa perlu meningkatkan kemampuan memahami proses belajar guna memiliki pengetahuan matematika prasyarat untuk melanjutkan perjalanan dan mengambil kursus yang lebih maju dalam pemelajaran mesin
